date, Water Level
2005-06-01,0.8849792
2005-06-02,0.95867914
2005-06-03,1.0301459
2005-06-04,1.2294042
2005-06-05,1.3554167
2005-06-06,1.2927667
2005-06-07,1.2852334
2005-06-08,1.0768666
2005-06-09,1.1217
2005-06-10,1.2254459
2005-06-11,1.4364333
2005-06-12,1.4282042
2005-06-13,1.7700292
2005-06-14,1.34435
2005-06-15,0.9006625
2005-06-16,1.0050125
2005-06-17,0.90604585
2005-06-18,0.920975
2005-06-19,0.968975
2005-06-20,1.1217124
2005-06-21,0.8971792
2005-06-22,1.0122666
2005-06-23,1.153675
2005-06-24,1.1906542
2005-06-25,1.2490292
2005-06-26,1.1725374
2005-06-27,1.2627375
2005-06-28,1.1667209
2005-06-29,1.2672917
2005-06-30,1.022475
2005-07-01,0.69053334
2005-07-02,0.41547915
2005-07-03,0.4834833
2005-07-04,0.520175
2005-07-05,0.767775
2005-07-06,1.3499042
2005-07-07,0.64416665
2005-07-08,0.83741665
2005-07-09,0.94713336
2005-07-10,1.030375
2005-07-11,1.4349208
2005-07-12,2.0173292
2005-07-13,1.364525
2005-07-14,0.82715416
2005-07-15,1.2828292
2005-07-16,1.4516333
2005-07-17,1.3432791
2005-07-18,1.2927208
2005-07-19,1.4841917
2005-07-20,1.89625
2005-07-21,1.5406667
2005-07-22,1.1619625
2005-07-23,0.9272917
2005-07-24,0.7900792
2005-07-25,0.61079997
2005-07-26,0.64816666
2005-07-27,0.56401247
2005-07-28,0.36785
2005-07-29,0.3059
2005-07-30,0.42888334
2005-07-31,0.55793333
2005-08-01,0.7463083
2005-08-02,0.725725
2005-08-03,0.66557914
2005-08-04,0.67635417
2005-08-05,0.64999163
2005-08-06,0.5818875
2005-08-07,0.56958336
2005-08-08,0.59149164
2005-08-09,0.550775
2005-08-10,0.5633375
2005-08-11,0.543225
2005-08-12,0.5720083
2005-08-13,0.54814166
2005-08-14,0.71230835
2005-08-15,0.77764165
2005-08-16,0.72402084
2005-08-17,0.7066
2005-08-18,0.8197167
2005-08-19,0.88582087
2005-08-20,0.85267085
2005-08-21,0.65660834
2005-08-22,0.7669375
2005-08-23,0.83876663
2005-08-24,0.8762958
2005-08-25,0.9122625
2005-08-26,0.94647914
2005-08-27,1.1818875
2005-08-28,1.5829958
2005-08-29,1.8788583
2005-08-30,1.5636417
2005-08-31,1.376425
2005-09-01,1.2274125
2005-09-02,1.2193375
2005-09-03,1.3226792
2005-09-04,1.3060583
2005-09-05,1.2866375
2005-09-06,1.6301666
2005-09-07,1.9012542
2005-09-08,1.6846875
2005-09-09,1.4953542
2005-09-10,1.4525791
2005-09-11,1.5082625
2005-09-12,1.5829916
2005-09-13,1.4234709
2005-09-14,1.2255666
2005-09-15,1.2297375
2005-09-16,1.194
2005-09-17,0.927525
2005-09-18,1.0786458
2005-09-19,1.2443084
2005-09-20,1.0820625
2005-09-21,0.8651083
2005-09-22,1.6694541
2005-09-23,3.27695
2005-09-24,1.5898583
2005-09-25,2.4165
2005-09-26,1.5658292
2005-09-27,1.1721125
2005-09-28,1.4022833
2005-09-29,1.4040959
2005-09-30,1.5349709
2005-10-01,1.6499375
2005-10-02,2.0112
2005-10-03,2.2649417
2005-10-04,2.6588876
2005-10-05,2.5465457
2005-10-06,1.9365083
2005-10-07,1.2719083
2005-10-08,1.0507458
2005-10-09,1.2452
2005-10-10,1.4371042
2005-10-11,1.5112458
2005-10-12,1.1597291
2005-10-13,1.0941083
2005-10-14,1.1409209
2005-10-15,1.0105709
2005-10-16,1.134675
2005-10-17,0.93705
2005-10-18,0.8719792
2005-10-19,0.9549583
2005-10-20,1.1299083
2005-10-21,1.1379125
2005-10-22,1.1091
2005-10-23,1.4390875
2005-10-24,0.7254792
2005-10-25,0.56167084
2005-10-26,0.49892917
2005-10-27,0.6407458
2005-10-28,0.73664165
2005-10-29,1.0716584
2005-10-30,1.3077084
2005-10-31,1.1636292
2005-11-01,0.43541667
2005-11-02,0.46819165
2005-11-03,0.9064208
2005-11-04,0.7925708
2005-11-05,0.8887875
2005-11-06,0.78060836
2005-11-07,0.9108292
2005-11-08,1.0895417
2005-11-09,1.0532792
2005-11-10,0.8120083
2005-11-11,0.9160333
2005-11-12,1.1919541
2005-11-13,1.0061
2005-11-14,0.75955415
2005-11-15,1.11075
2005-11-16,0.1674375
