date, Water Level
2016-01-01,0.96479166
2016-01-02,0.82187915
2016-01-03,0.8872375
2016-01-04,0.56564164
2016-01-05,0.8152083
2016-01-06,1.345575
2016-01-07,1.5599333
2016-01-08,1.4264792
2016-01-09,1.0082
2016-01-10,-0.10992084
2016-01-11,0.39333335
2016-01-12,0.88680834
2016-01-13,0.73035
2016-01-14,1.0555667
2016-01-15,1.0845542
2016-01-16,0.84954584
2016-01-17,0.5513375
2016-01-18,0.80214167
2016-01-19,0.838575
2016-01-20,0.6443
2016-01-21,0.58716667
2016-01-22,-0.7468333
2016-01-23,-1.1416708
2016-01-24,0.028325
2016-01-25,0.50872916
2016-01-26,0.38338333
2016-01-27,-0.10908333
2016-01-28,0.40800834
2016-01-29,0.37405834
2016-01-30,0.45972082
2016-01-31,0.5692625
2016-02-01,0.78786665
2016-02-02,0.97232914
2016-02-03,0.8683208
2016-02-04,0.492475
2016-02-05,0.621175
2016-02-06,0.73602915
2016-02-07,0.22052084
2016-02-08,0.39446667
2016-02-09,-0.51919997
2016-02-10,-0.52242917
2016-02-11,-0.33057916
2016-02-12,-0.1997375
2016-02-13,-0.14062917
2016-02-14,0.419075
2016-02-15,0.7230167
2016-02-16,0.420925
2016-02-17,0.39076668
2016-02-18,0.68227917
2016-02-19,0.84294164
2016-02-20,0.7123708
2016-02-21,0.6893542
2016-02-22,0.750925
2016-02-23,0.9595875
2016-02-24,-1.0118916
2016-02-25,-1.1210709
2016-02-26,-0.28432083
2016-02-27,0.1650375
2016-02-28,0.28942084
2016-02-29,0.3546
2016-03-01,0.38540417
2016-03-02,0.55602497
2016-03-03,0.862575
2016-03-04,0.370275
2016-03-05,0.6298625
2016-03-06,0.71103334
2016-03-07,1.0788125
2016-03-08,1.6484584
2016-03-09,1.6954666
2016-03-10,1.53335
2016-03-11,1.6595833
2016-03-12,1.2186583
2016-03-13,1.232475
2016-03-14,1.0409334
2016-03-15,0.68225414
2016-03-16,0.6784458
2016-03-17,0.735425
2016-03-18,0.82186663
2016-03-19,0.1937625
2016-03-20,0.29195416
2016-03-21,0.4014625
2016-03-22,0.781575
2016-03-23,0.92687917
2016-03-24,0.5804542
2016-03-25,0.2997125
2016-03-26,1.10465
2016-03-27,0.9356083
2016-03-28,0.6462
2016-03-29,1.023
2016-03-30,1.3131083
2016-03-31,1.4129333
2016-04-01,1.1905291
2016-04-02,0.5244333
2016-04-03,0.5616792
2016-04-04,0.849925
2016-04-05,0.52033335
2016-04-06,0.5924542
2016-04-07,0.24261667
2016-04-08,0.50897497
2016-04-09,0.7478625
2016-04-10,1.2195916
2016-04-11,1.3545625
2016-04-12,1.001875
2016-04-13,1.1025167
2016-04-14,0.94715416
2016-04-15,1.1296417
2016-04-16,1.8421708
2016-04-17,2.7104
2016-04-18,2.6828458
2016-04-19,2.3095334
2016-04-20,2.0280707
2016-04-21,1.7332709
2016-04-22,1.4858416
2016-04-23,1.2709167
2016-04-24,1.5778834
2016-04-25,1.758225
2016-04-26,1.8667709
2016-04-27,2.0228
2016-04-28,1.9349583
2016-04-29,2.1642125
2016-04-30,2.235604
2016-05-01,1.8598334
2016-05-02,2.0444458
2016-05-03,1.5907625
2016-05-04,1.5686208
2016-05-05,1.2618834
2016-05-06,1.166825
2016-05-07,1.3843209
2016-05-08,1.56655
2016-05-09,1.6202416
2016-05-10,1.6410625
2016-05-11,1.6040083
2016-05-12,1.5473292
2016-05-13,1.1841291
2016-05-14,1.0812167
2016-05-15,1.0565625
2016-05-16,1.8086375
2016-05-17,1.8164458
2016-05-18,1.3105209
2016-05-19,1.3823833
2016-05-20,1.4681916
2016-05-21,1.4520042
2016-05-22,1.4207875
2016-05-23,1.8089666
2016-05-24,1.74585
