ObjectID,Shape,FID_Sheet1_XYTableToPoint1,F1,Station,Latitude,Longitude,Height,FID_Unsplitted_Coastal_Line_Buff5
1,Point,4588,4587,FLPK,24.963,-80.568,-14.851,1
2,Point,4532,4531,FLC6,25.431,-80.467,-18.278,1
3,Point,4531,4530,FLC5,25.432,-80.467,-18.278,1
4,Point,5918,5917,HOM1,25.501,-80.55,-20.762,1
5,Point,13968,13967,RCM7,25.614,-80.384,-23.012,1
6,Point,13971,13970,RCMV,25.614,-80.384,-23.005,1
7,Point,14234,14233,RMND,25.614,-80.384,-15.684,1
8,Point,4549,4548,FLF1,25.615,-80.386,-22.081,1
9,Point,4550,4549,FLF2,25.615,-80.386,-22.125,1
10,Point,4428,4427,FCDE,25.617,-80.305,-24.425,1
11,Point,10796,10795,N300,25.731,-80.162,-22.84,1
12,Point,14472,14471,SA20,25.732,-80.163,-10.276,1
13,Point,9731,9730,MIA4,25.733,-80.161,-17.301,1
14,Point,9730,9729,MIA3,25.733,-80.16,-22.135,1
15,Point,692,691,AOML,25.735,-80.162,0.096,1
16,Point,4563,4562,FLIU,25.755,-80.374,1.754,1
17,Point,4537,4536,FLD6,25.78,-80.376,-16.727,1
18,Point,4571,4570,FLMB,25.783,-80.137,-17.127,1
19,Point,18680,18679,ZMA1,25.825,-80.319,-7.658,1
20,Point,10666,10665,MTNT,25.866,-80.907,-20.541,1
21,Point,4431,4430,FCI2,25.906,-80.138,-24.656,1
22,Point,4430,4429,FCI1,25.906,-80.137,-22.735,1
23,Point,4429,4428,FCHO,25.908,-80.125,-24.545,1
24,Point,4578,4577,FLN2,25.966,-80.167,-18.989,1
25,Point,570,569,AMBI,25.981,-97.483,-8.129,1
26,Point,4574,4573,FLMI,25.998,-81.694,-9.719,1
27,Point,16901,16900,TXLN,26.095,-97.301,-15.76,1
28,Point,4723,4722,FTLD,26.121,-80.34,-16.957,1
29,Point,16854,16853,TXHL,26.131,-98.255,15.491,1
30,Point,10825,10824,NAPL,26.149,-81.776,-19.071,1
31,Point,4553,4552,FLFG,26.154,-81.682,-16.248,1
32,Point,15780,15779,SWGA,26.155,-97.958,2.262,1
33,Point,4581,4580,FLNP,26.188,-81.759,-9.211,1
34,Point,16851,16850,TXHG,26.19,-97.683,-6.795,1
35,Point,4601,4600,FLWM,26.193,-81.749,-15.969,1
36,Point,8630,8629,LAUD,26.196,-80.173,-19.725,1
37,Point,16965,16964,TXPR,26.208,-98.189,15.285,1
38,Point,16800,16799,TXEB,26.298,-98.162,8.66,1
39,Point,4579,4578,FLNA,26.32,-81.753,-7.285,1
40,Point,4529,4528,FLBT,26.326,-81.671,-14.868,1
41,Point,1644,1643,BOC1,26.381,-80.109,-20.907,1
42,Point,6529,6528,IMMO,26.418,-81.417,-9.733,1
43,Point,4593,4592,FLSI,26.475,-82.159,-18.699,1
44,Point,16987,16986,TXRV,26.494,-97.781,-11.133,1
45,Point,16972,16971,TXR1,26.495,-97.779,-9.368,1
46,Point,16980,16979,TXRM,26.518,-99.085,74.643,1
47,Point,16885,16884,TXL3,26.546,-98.123,2.76,1
48,Point,4611,4610,FMYR,26.591,-81.864,-14.843,1
49,Point,16992,16991,TXS5,26.716,-98.445,63.023,1
50,Point,5265,5264,GLA1,26.722,-80.668,-20.836,1
51,Point,8656,8655,LBLL,26.748,-81.453,-18.192,1
52,Point,13040,13039,PBCH,26.846,-80.219,-16.883,1
53,Point,17051,17050,TXZA,26.916,-99.28,110.416,1
54,Point,3076,3075,CRLT,26.917,-81.998,-14.523,1
55,Point,13409,13408,PNTA,26.921,-81.993,-14.951,1
56,Point,4562,4561,FLIT,27.028,-80.48,-0.748,1
57,Point,628,627,AND3,27.044,-82.4,-14.505,1
58,Point,4558,4557,FLHO,27.056,-80.134,-13.515,1
59,Point,16878,16877,TXKN,27.134,-97.793,-8.129,1
60,Point,13067,13066,PCF2,27.165,-80.27,-18.63,1
61,Point,15662,15661,STRT,27.179,-80.226,-19.813,1
62,Point,15551,15550,STE3,27.187,-80.223,-22.579,1
63,Point,13961,13960,RCDA,27.22,-81.874,-13.622,1
64,Point,16812,16811,TXFF,27.228,-98.155,14.979,1
65,Point,11715,11714,OKCB,27.266,-80.855,-15.334,1
66,Point,16978,16977,TXRI,27.289,-97.809,-12.568,1
67,Point,4568,4567,FLLP,27.309,-81.363,21.949,1
68,Point,4702,4701,FRUT,27.338,-82.439,-10.897,1
69,Point,4595,4594,FLSS,27.416,-82.394,-8.132,1
70,Point,4518,4517,FLAI,27.45,-82.69,-12.372,1
71,Point,5512,5511,GSPS,27.485,-82.351,-7.212,1
72,Point,16905,16904,TXLR,27.514,-99.448,113.678,1
73,Point,17864,17863,WACH,27.514,-81.882,9.194,1
74,Point,16874,16873,TXKG,27.515,-97.861,-4.685,1
75,Point,16875,16874,TXKI,27.535,-97.855,-4.542,1
76,Point,8415,8414,KVTX,27.546,-97.893,-2.585,1
77,Point,14470,14469,SA18,27.571,-99.434,143.289,1
78,Point,16887,16886,TXL5,27.573,-99.472,129.959,1
79,Point,4554,4553,FLFR,27.591,-80.4,-13.239,1
80,Point,994,993,AVO6,27.595,-81.525,20.222,1
81,Point,4193,4192,EKY1,27.6,-82.76,-18.375,1
82,Point,4194,4193,EKY2,27.601,-82.761,-20.529,1
83,Point,4552,4551,FLFD,27.603,-80.824,-1.073,1
84,Point,6656,6655,IRC2,27.673,-80.43,-16.892,1
85,Point,16754,16753,TXC7,27.724,-97.427,-10.823,1
86,Point,16707,16706,TXAI,27.728,-98.068,37.935,1
87,Point,16758,16757,TXCC,27.741,-97.442,-10.345,1
88,Point,16704,16703,TXAE,27.75,-98.072,48.307,1
89,Point,16907,16906,TXLT,27.759,-99.437,192.802,1
