 '01',[0.16899636450449218
 '12',0.190787612
 '13',0.191495228
 '14',0.21400241
 '15',0.188442471
 '012',0.166689722
 '013',0.163129792
 '014',0.188245814
 '015',0.162548306
 '123',0.189301586
 '124',0.213622993
 '125',0.18579547
 '134',0.210456751
 '135',0.183585477
 '145',0.207012111
 '0123',0.164195884
 '0124',0.188170816
 '0125',0.162923003
 '0134',0.184126352
 '0135',0.158568786
 '0145',0.183467034
 '1234',0.209977338
 '1235',0.182886343
 '1245',0.206597305
 '1345',0.20005615
 '01234',0.185115154
 '01235',0.160492317
 '01245',0.184038821
 '01345',0.179418796
 '12345',0.200135658
 '012345',0.180220232
