,1,2,3,4,5,6,7,8,9,10
12,0.006976367,0.016816016,0.036773761,0.057395182,0.120096092,0.146120441,0.201938128,0.216890171,0.269489547,0.264050431
18,0.005712312,0.023774707,0.051169688,0.074124631,0.111419409,0.133624415,0.139309687,0.159968418,0.186385718,0.178039896
24,0.009653731,0.022939673,0.052084291,0.070137934,0.081815656,0.111563581,0.132709043,0.138951296,0.157777008,0.190787612
30,0.016533975,0.036457117,0.065233139,0.0782206,0.097260993,0.12245399,0.157831703,0.196445022,0.155281258,0.161248507
36,0.016262028,0.0457179,0.067968397,0.094539001,0.11151968,0.164381008,0.160983589,0.148133947,0.1814438,0.156689419
42,0.020341359,0.060045398,0.081319924,0.12685577,0.165635902,0.162722951,0.147368258,0.174656478,0.162785612,0.271289265
48,0.020401041,0.056865432,0.084102807,0.123910693,0.16928024,0.138015872,0.172083032,0.197553202,0.241587851,0.300201331
54,0.02732564,0.065737928,0.124948274,0.150558597,0.12218271,0.184992612,0.15859264,0.240549985,0.301832148,0.259460059
60,0.032974918,0.075780674,0.108993521,0.170214213,0.127422764,0.14483076,0.264162993,0.301984502,0.25915092,0.306305154
66,0.032604554,0.080631477,0.12283374,0.147674082,0.150653528,0.179716342,0.234373005,0.297025504,0.28775753,0.295340417
72,0.041413483,0.082270844,0.143375426,0.136741349,0.133162134,0.220763773,0.230316543,0.271718627,0.362348811,0.351012515
